system,split,category,n,jvr,intent_accuracy,slot_macro_f1,target_f1,quantity_f1,radius_f1,ccr,urr,frr,exact_match_accuracy,mean_latency_millis,median_latency_millis,p95_latency_millis,input_tokens,output_tokens,observed_cost_usd
RULE_BT_REPLICA,dev,composite,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
RULE_BT_REPLICA,dev,explicit_executable,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
RULE_BT_REPLICA,dev,missing_ambiguous,6,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
RULE_BT_REPLICA,dev,unsupported_infeasible,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
RULE_BT_REPLICA,test,boundary_safety,6,1.0,0.3333333333333333,0.5714285714285715,0.5714285714285715,0.5714285714285715,0.5714285714285715,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,0,0.0
RULE_BT_REPLICA,test,colloquial_synonym,6,1.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
RULE_BT_REPLICA,test,composite,6,1.0,0.5,0.8000000000000002,0.8,0.8,0.8,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0.0
RULE_BT_REPLICA,test,explicit_executable,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
RULE_BT_REPLICA,test,missing_ambiguous,6,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
RULE_BT_REPLICA,test,unsupported_infeasible,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
