system,split,n,jvr,intent_accuracy,slot_macro_f1,target_f1,quantity_f1,radius_f1,ccr,urr,frr,exact_match_accuracy,mean_latency_millis,median_latency_millis,p95_latency_millis,input_tokens,output_tokens,observed_cost_usd
DEEPSEEK_V4_FLASH,all,72,0.9861111111111112,0.8611111111111112,0.6666666666666666,0.9600000000000001,0.9600000000000001,0.08,0.5714285714285714,0.9375,0.0,0.4305555555555556,1070.2916666666667,1024.0,1399.3500000000001,62654,4882,0.773
DEEPSEEK_V4_FLASH,dev,36,1.0,0.8333333333333334,0.6476190476190476,0.9142857142857143,0.9142857142857143,0.11428571428571428,0.42857142857142855,1.0,0.0,0.4722222222222222,1054.5,1020.5,1353.0,31742,2452,0.39098
DEEPSEEK_V4_FLASH,test,36,0.9722222222222222,0.8888888888888888,0.6833333333333332,1.0,1.0,0.05000000000000001,0.7142857142857143,0.8888888888888888,0.0,0.3888888888888889,1086.0833333333333,1030.0,1465.25,30912,2430,0.38202
RULE_BT_REPLICA,all,72,1.0,0.6111111111111112,0.8059701492537311,0.8059701492537312,0.8059701492537312,0.8059701492537312,0.9285714285714286,0.0,0.0,0.6111111111111112,0.0,0.0,0.0,0,0,0.0
RULE_BT_REPLICA,dev,36,1.0,0.75,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0,0,0.0
RULE_BT_REPLICA,test,36,1.0,0.4722222222222222,0.7222222222222223,0.7222222222222223,0.7222222222222223,0.7222222222222223,0.8571428571428571,0.0,0.0,0.4722222222222222,0.0,0.0,0.0,0,0,0.0
